,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67,1061748,85.0
1,Memento,2000,8.5,80,910445,85.0
2,Snatch,2000,8.3,55,643923,83.0
3,Requiem for a Dream,2000,8.4,68,618108,84.0
4,X-Men,2000,7.4,64,485802,74.0
5,Cast Away,2000,7.7,73,422479,77.0
6,American Psycho,2000,7.6,64,383912,76.0
7,Unbreakable,2000,7.2,62,274180,72.0
8,Meet the Parents,2000,7.0,73,272151,70.0
9,Mission: Impossible II,2000,6.1,59,256927,61.0
10,"O Brother, Where Art Thou?",2000,7.8,69,239070,78.0
11,Gone in Sixty Seconds,2000,6.5,35,228291,65.0
12,Wo hu cang long,2000,7.9,93,226016,79.0
13,The Patriot,2000,7.1,63,218778,71.0
14,Almost Famous,2000,7.9,90,217492,79.0
15,Pitch Black,2000,7.1,49,201444,71.0
16,Scary Movie,2000,6.2,48,196588,62.0
17,"Me, Myself & Irene",2000,6.6,49,194230,66.0
18,Final Destination,2000,6.7,36,191179,67.0
19,The Beach,2000,6.6,43,188173,66.0
20,Amores perros,2000,8.1,83,184951,81.0
21,Traffic,2000,7.6,86,176254,76.0
22,Remember the Titans,2000,7.8,48,169597,78.0
23,What Women Want,2000,6.4,47,166842,64.0
24,Chocolat,2000,7.3,64,157128,73.0
25,How the Grinch Stole Christmas,2000,6.0,46,153668,60.0
26,Charlie's Angels,2000,5.5,52,151310,55.0
27,High Fidelity,2000,7.5,79,149062,75.0
28,Chicken Run,2000,7.0,88,148260,70.0
29,Miss Congeniality,2000,6.2,43,147707,62.0
30,Batoru rowaiaru,2000,7.7,81,145760,77.0
31,Erin Brockovich,2000,7.3,73,143397,73.0
32,The Emperor's New Groove,2000,7.3,70,139034,73.0
33,Road Trip,2000,6.5,55,138909,65.0
34,The Perfect Storm,2000,6.4,59,138066,64.0
35,"Dude, Where's My Car?",2000,5.5,30,120800,55.0
36,Hollow Man,2000,5.7,24,106544,57.0
37,Scream 3,2000,5.5,56,103825,55.0
38,The 6th Day,2000,5.9,49,103740,59.0
39,Billy Elliot,2000,7.7,74,103203,77.0
40,Shanghai Noon,2000,6.6,77,102144,66.0
41,What Lies Beneath,2000,6.6,51,102032,66.0
42,Pay It Forward,2000,7.2,40,100508,72.0
43,Coyote Ugly,2000,5.6,27,94445,56.0
44,The Whole Nine Yards,2000,6.7,47,94129,67.0
45,Men of Honor,2000,7.2,56,93868,72.0
46,The Family Man,2000,6.7,42,89882,67.0
47,Frequency,2000,7.4,67,86662,74.0
48,Bedazzled,2000,6.0,49,85284,60.0
49,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1329889,88.0
50,A Beautiful Mind,2001,8.2,72,667200,82.0
51,"Monsters, Inc.",2001,8.1,78,639250,81.0
52,Donnie Darko,2001,8.1,88,624395,81.0
53,Amélie,2001,8.4,69,576203,84.0
54,Shrek,2001,7.9,84,498481,79.0
55,Harry Potter and the Sorcerer's Stone,2001,7.5,64,487726,75.0
56,Sen to Chihiro no kamikakushi,2001,8.6,94,463971,86.0
